,0,1,2,3,4
779,توقع,t æ v æ ɣ ɣ o ʔ,توقع,CANNNNNNOT,t a v a q q o ʔ
780,توپ,t u p,توپ,CANNNNNNOT,t u p
781,تکفور,t æ k f uː ɾ,تکفور,CANNNNNNOT,t a k f A r
782,تکور,t æ k v o ɾ,تکور,Tkvr,t a k v o r
783,تکور,t æ k w u ɾ,تکور,CANNNNNNOT,t a k w u r
784,تکوک,t æ k oː k,تکوک,CANNNNNNOT,t a k oː k
785,تکوک,t æ k uː k,تکوک,CANNNNNNOT,t a k A k
786,تکیه,t a k j a,تکیه,CANNNNNNOT,t a k y a
787,تکیه,t æ k j e,تکیه,Support,t a k y e
788,تیرداد,t iː ɾ d ɒː d,تیرداد,CANNNNNNOT,t i r d A d
789,تیز,t e z,تیز,CANNNNNNOT,t e z
790,تیز,t eː z,تیز,CANNNNNNOT,t eː z
791,تیز,t iː z,تیز,CANNNNNNOT,t i z
792,تیزاب,t e z ɔː b,تیزاب,Aquafortis,t e z A b
793,تیزاب,t eː z ɑː b,تیزاب,CANNNNNNOT,t eː z A b
794,تیزاب,t eː z ɒː b,تیزاب,CANNNNNNOT,t eː z A b
795,تیزاب,t iː z ɒː b,تیزاب,Aquafortis,t i z A b
796,ثابت,s ɒː b e tʰ,ثابت,CANNNNNNOT,s A b e t
797,ثابت‌ها,s ɒː b e tʰ h ɒː,ثابتها,CANNNNNNOT,s A b e t h A
798,ثانیه,s ɑː n i j a,ثانیه,CANNNNNNOT,s A n i y a
799,ثانیه,s ɒː n i j a,ثانیه,CANNNNNNOT,s A n i y a
800,ثانیه,s ɒː n i j e,ثانیه,Second,s A n i y e
801,ثانیه,s ɔː n i j a,ثانیه,CANNNNNNOT,s A n i y a
802,جا,d ʒ ɑː j,جا,CANNNNNNOT,j A y
803,جا,d ʒ ɒː j,جا,CANNNNNNOT,j A y
804,جا,d ʒ ɔː j,جا,Place,j A y
805,جادو,d ʒ ɑː d uː,جادو,Magic,j A d A
806,جادو,d ʒ ɒː d uː,جادو,CANNNNNNOT,j A d A
807,جادو,d ʒ ɔː d u,جادو,Magic,j A d u
808,جام,d͡ʒ ɒː m,جام,Cup,j A m
809,جامعه‌شناس,d ʒ ɒː m e ʔ e ʃ e n ɒː s,جامعهشناس,CANNNNNNOT,j A m e e S e n A s
810,جان,d ʒ uː n,جان,CANNNNNNOT,j A n
811,جان,d ʒ ɑː n,جان,CANNNNNNOT,j A n
812,جان,d ʒ ɒː n,جان,CANNNNNNOT,j A n
813,جان,d ʒ ɔː n,جان,CANNNNNNOT,j A n
814,جانور,d ʒ uː n v æ ɾ,جانور,animal,j A n v a r
815,جانور,d ʒ ɑː n v a ɾ,جانور,CANNNNNNOT,j A n v a r
816,جانور,d ʒ ɒː n v æ ɾ,جانور,CANNNNNNOT,j A n v a r
817,جانور,d ʒ ɒː n w a ɾ,جانور,animal,j A n w a r
818,جانور,d ʒ ɔː n v a ɾ,جانور,animal,j A n v a r
819,جبار,d ʒ æ b ɒː ɾ,جبار,Tyrant,j a b A r
820,جدا,d͡ʒ o d̪ ɒː,جدا,Apart,j o d̪ A
821,جدا,d͡ʒ u d̪ ɑː,جدا,Apart,j u d̪ A
822,جدا,d͡ʒ u d̪ ɔː,جدا,Apart,j u d̪ A
823,جدا,d͡ʒ ʊ d̪ ɒː,جدا,Apart,j ʊ d̪ A
824,جستجو,d ʒ o s t o d ʒ uː j,جستجو,Search,j o s t o j A y
825,جستجو,d ʒ u s t u d ʒ uː j,جستجو,Search,j u s t u j A y
826,جستجو,d ʒ u s t u d ʒ ɵː j,جستجو,CANNNNNNOT,j u s t u j ɵː y
827,جستجو,d ʒ ʊ s t ʊ d ʒ uː j,جستجو,Search,j ʊ s t ʊ j A y
828,جعفر,d͡ʒ æ ʔ f æ r,جعفر,CANNNNNNOT,j a f a r
829,جعفری,d͡ʒ æ ʔ f æ ɾ iː,جعفری,Parsley,j a f a r i
830,جفت,d ʒ o f t,جفت,CANNNNNNOT,j o f t
831,جفت,d ʒ u f t,جفت,Pair,j u f t
832,جفت,d ʒ ʊ f t,جفت,CANNNNNNOT,j ʊ f t
833,جلسه,d ʒ a l a s a,جلسه,Session,j a l a s a
834,جلسه,d ʒ æ l æ s e,جلسه,CANNNNNNOT,j a l a s e
835,جلو,d ʒ e l o w,جلو,CANNNNNNOT,j e l o w
836,جلو,d ʒ e l oː,جلو,CANNNNNNOT,j e l oː
837,جلو,d ʒ i l a v,جلو,CANNNNNNOT,j i l a v
838,جلو,d ʒ i l a w,جلو,CANNNNNNOT,j i l a w
839,جلو,d ʒ ɪ l a w,جلو,CANNNNNNOT,j i l a w
840,جلوگیری,d ʒ e l o w ɡ iː ɾ iː,جلوگیری,Prevention,j e l o w ɡ i r i
841,جلوگیری,d ʒ e l oː ɡ iː ɾ iː,جلوگیری,Prevention,j e l oː ɡ i r i
842,جلوگیری,d ʒ i l a v ɡ i ɾ iː,جلوگیری,CANNNNNNOT,j i l a v ɡ i r i
843,جلوگیری,d ʒ i l a w ɡ iː ɾ iː,جلوگیری,CANNNNNNOT,j i l a w ɡ i r i
844,جلوگیری,d ʒ ɪ l a w ɡ iː ɾ iː,جلوگیری,CANNNNNNOT,j i l a w ɡ i r i
845,جمشید,d͡ʒ æ m ʃ eː d,جمشید,Jamshid,j a m S eː d
846,جمشید,d͡ʒ æ m ʃ iː d,جمشید,CANNNNNNOT,j a m S i d
847,جمعه,d ʒ o m e,جمعه,CANNNNNNOT,j o m e
848,جمعه,d ʒ o m ʔ e,جمعه,CANNNNNNOT,j o m e
849,جمعه,d ʒ u m ʔ a,جمعه,Friday,j u m a
850,جمعه,d ʒ ʊ m ʔ a,جمعه,CANNNNNNOT,j ʊ m a
851,جمهوری,d ʒ o m h uː ɾ iː,جمهوری,Republic,j o m h A r i
852,جمهوری,d ʒ u m h u ɾ iː,جمهوری,Republic,j u m h u r i
853,جمهوری,d ʒ u m h uː ɾ iː,جمهوری,CANNNNNNOT,j u m h A r i
854,جمهوری,d ʒ ʊ m h uː ɾ iː,جمهوری,CANNNNNNOT,j ʊ m h A r i
855,جنون,d ʒ o n uː n,جنون,CANNNNNNOT,j o n A n
856,جنگل,d ʒ æ n ɡ æ l,جنگل,Jungle,j a n ɡ a l
857,جواب,d ʒ æ v ɒː b,جواب,CANNNNNNOT,j a v A b
858,جواب‌ها,d ʒ æ v ɒː b h ɒː,جوابها,Answers,j a v A b h A
859,جواری,ɡ o v ɒː ɾ iː,جواری,Corn,ɡ o v A r i
860,جواری,ɡ u v ɑː ɾ iː,جواری,CANNNNNNOT,ɡ u v A r i
861,جواری,ɡ u v ɔː ɾ iː,جواری,CANNNNNNOT,ɡ u v A r i
862,جواری,ɡ ʊ w ɒː ɾ iː,جواری,Corn,ɡ ʊ w A r i
863,جوان,d ʒ a v ɑː n,جوان,Young,j a v A n
864,جوان,d ʒ a v ɔː n,جوان,Young,j a v A n
865,جوان,d ʒ a w ɒː n,جوان,CANNNNNNOT,j a w A n
866,جوان,d ʒ æ v uː n,جوان,CANNNNNNOT,j a v A n
867,جوان,d ʒ æ v ɒː n,جوان,Young,j a v A n
868,جوراب,d ʒ oː ɾ ɒː b,جوراب,Socks,j oː r A b
869,جوهر,d ʒ a v h a ɾ,جوهر,Ink,j a v h a r
870,جوهر,d ʒ a w h a ɾ,جوهر,CANNNNNNOT,j a w h a r
871,جوهر,d ʒ o w h æ ɾ,جوهر,Ink,j o w h a r
872,جوهر,d ʒ oː h æ ɾ,جوهر,Ink,j oː h a r
873,جوگی,d ʒ oː ɡ iː,جوگی,Jogi,j oː ɡ i
874,جوگی,d ʒ uː ɡ iː,جوگی,CANNNNNNOT,j A ɡ i
875,جوگی,d ʒ ɵː ɡ iː,جوگی,Jogi,j ɵː ɡ i
876,جویدن,d ʒ æ v iː d æ n,جویدن,CANNNNNNOT,j a v i d a n
877,جگر,d ʒ e ɡ æ ɾ,جگر,Liver,j e ɡ a r
878,ح,h,ح,(H),h
879,ح,h e,ح,CANNNNNNOT,h e
880,حاد,h ɒː d,حاد,Acute,h A d
881,حاصل,h ɑː s i l,حاصل,Result,h A s i l
882,حاصل,h ɒː s e l,حاصل,Result,h A s e l
883,حاصل,h ɒː s ɪ l,حاصل,Result,h A s i l
884,حاصل,h ɔː s i l,حاصل,CANNNNNNOT,h A s i l
885,حافظ,h ɒː f e z,حافظ,CANNNNNNOT,h A f e z
886,حج,h a d d ʒ,حج,CANNNNNNOT,h a d j
887,حج,h æ d d ʒ,حج,CANNNNNNOT,h a d j
888,حجره,h o d͡ʒ r e,حجره,Cell,h o j r e
889,حدادی,h æ dː ɒː d iː,حدادی,Haddadi,h a dː A d i
890,حرف,h a ɾ f,حرف,CANNNNNNOT,h a r f
891,حرف,h æ ɾ f,حرف,CANNNNNNOT,h a r f
892,حرفه,h e ɾ f e,حرفه,CANNNNNNOT,h e r f e
893,حرفه,h i ɾ f a,حرفه,CANNNNNNOT,h i r f a
894,حرفه,h ɪ ɾ f a,حرفه,the profession,h i r f a
895,حرکت,h a ɾ a k a t,حرکت,Move,h a r a k a t
896,حرکت,h æ ɾ æ k æ t,حرکت,Move,h a r a k a t
897,حقوق,h o q u q,حقوق,Rights,h o q u q
898,حقیقت,h æ ɣ iː ɣ æ tʰ,حقیقت,CANNNNNNOT,h a q i q a t
899,حلال,h æ l ɒː l,حلال,CANNNNNNOT,h a l A l
900,حیوان,h e j v ɒː n,حیوان,CANNNNNNOT,h e y v A n
901,خ,x,خ,CANNNNNNOT,x
902,خ,x e,خ,St.,x e
903,خات,x ɒː t,خات,CANNNNNNOT,x A t
904,خاتمه,x ɑː t i m a,خاتمه,CANNNNNNOT,x A t i m a
905,خاتمه,x ɒː t e m e,خاتمه,CANNNNNNOT,x A t e m e
906,خاتمه,x ɒː t ɪ m a,خاتمه,End,x A t i m a
907,خاتمه,x ɔː t i m a,خاتمه,CANNNNNNOT,x A t i m a
908,خار,x ɒː ɾ,خار,Thistle,x A r
909,خارج,x ɑː ɾ i d ʒ,خارج,Out,x A r i j
910,خارج,x ɒː ɾ e d ʒ,خارج,Out,x A r e j
911,خارج,x ɒː ɾ ɪ d ʒ,خارج,CANNNNNNOT,x A r i j
912,خارج,x ɔː ɾ i d ʒ,خارج,CANNNNNNOT,x A r i j
913,خارجه,x ɑː ɾ i d ʒ a,خارجه,Foreign,x A r i j a
914,خارجه,x ɒː ɾ e d ʒ e,خارجه,Foreign,x A r e j e
915,خارجه,x ɒː ɾ ɪ d ʒ a,خارجه,Foreign,x A r i j a
916,خارجه,x ɔː ɾ i d ʒ a,خارجه,CANNNNNNOT,x A r i j a
917,خاص,x ɒː s,خاص,CANNNNNNOT,x A s
918,خاص‌تر,x ɒː s tʰ æ ɾ,خاصتر,CANNNNNNOT,x A s t a r
919,خاص‌ترین,x ɒː s tʰ æ ɾ iː n,خاصترین,Most special,x A s t a r i n
920,خاطره,x ɒː tʰ e ɾ e,خاطره,a diary,x A t e r e
921,خالق,x ɑː l i q,خالق,CANNNNNNOT,x A l i q
922,خالق,x ɒː l e ɣ,خالق,the creator,x A l e q
923,خالق,x ɒː l ɪ q,خالق,CANNNNNNOT,x A l i q
924,خالق,x ɔː l i q,خالق,CANNNNNNOT,x A l i q
925,خام,x ɒː m,خام,CANNNNNNOT,x A m
926,خاموش,x ɑː m oː ʃ,خاموش,Off,x A m oː S
927,خاموش,x ɒː m oː ʃ,خاموش,CANNNNNNOT,x A m oː S
928,خاموش,x ɒː m uː ʃ,خاموش,Off,x A m A S
929,خاموش,x ɔː m ɵː ʃ,خاموش,CANNNNNNOT,x A m ɵː S
930,خانه,x uː n e,خانه,Home,x A n e
931,خانه,x ɑː n a,خانه,Home,x A n a
932,خانه,x ɒː n a,خانه,CANNNNNNOT,x A n a
933,خانه,x ɒː n e,خانه,Home,x A n e
934,خانه,x ɔː n a,خانه,CANNNNNNOT,x A n a
935,خانواده,x uː n e # v ɒː d e,خانواده,Family,x A n e  v A d e
936,خانواده,x ɑː n a # v ɑː d a,خانواده,Family,x A n a  v A d a
937,خانواده,x ɒː n a # w ɒː d a,خانواده,Family,x A n a  w A d a
938,خانواده,x ɒː n e # v ɒː d e,خانواده,Family,x A n e  v A d e
939,خانواده,x ɔː n a # v ɔː d a,خانواده,Family,x A n a  v A d a
940,خانوادگی,x uː n e # v ɒː d e # ɡ iː,خانوادگی,Familial,x A n e  v A d e  ɡ i
941,خانوادگی,x ɑː n a # v ɑː d a # ɡ iː,خانوادگی,Familial,x A n a  v A d a  ɡ i
942,خانوادگی,x ɒː n a # w ɒː d a # ɡ iː,خانوادگی,Familial,x A n a  w A d a  ɡ i
943,خانوادگی,x ɒː n e # v ɒː d e # ɡ iː,خانوادگی,Familial,x A n e  v A d e  ɡ i
944,خانوادگی,x ɔː n a # v ɔː d a # ɡ iː,خانوادگی,Familial,x A n a  v A d a  ɡ i
945,خانگی,x uː n æː ɡ iː,خانگی,Homemade,x A n aː ɡ i
946,خانگی,x ɑː n a ʔ ɡ iː,خانگی,Homemade,x A n a ɡ i
947,خانگی,x ɒː n a ʔ ɡ iː,خانگی,Homemade,x A n a ɡ i
948,خانگی,x ɒː n æ ʔ ɡ iː,خانگی,Homemade,x A n a ɡ i
949,خانگی,x ɔː n a ʔ ɡ iː,خانگی,Homemade,x A n a ɡ i
950,خاویار,x ɒː v i j ɒː ɾ,خاویار,Caviar,x A v i y A r
951,خاکستر,x ɑː k i s t a ɾ,خاکستر,Ash,x A k i s t a r
952,خاکستر,x ɒː k e s t æ ɾ,خاکستر,CANNNNNNOT,x A k e s t a r
953,خاکستر,x ɒː k ɪ s t a ɾ,خاکستر,Ash,x A k i s t a r
954,خاکستر,x ɔː k i s t a ɾ,خاکستر,Ash,x A k i s t a r
955,خاکستری,x ɑː k i s t a ɾ,خاکستری,Gray,x A k i s t a r
956,خاکستری,x ɒː k e s t æ ɾ,خاکستری,Gray,x A k e s t a r
957,خاکستری,x ɒː k ɪ s t a ɾ,خاکستری,Gray,x A k i s t a r
958,خاکستری,x ɔː k i s t a ɾ,خاکستری,Gray,x A k i s t a r
959,خبر,x a b a ɾ,خبر,News,x a b a r
960,خبر,x æ b æ ɾ,خبر,News,x a b a r
961,ختنه,x æ tʰ n e,ختنه,Circumcision,x a t n e
962,خدا,x o d ɒː,خدا,God,x o d A
963,خدا,x u d ɑː,خدا,God,x u d A
964,خدا,x u d ɔː,خدا,God,x u d A
965,خدا,x ʊ d ɒː,خدا,God,x ʊ d A
966,خداحافظ,x o d ɒː h ɒː f e z,خداحافظ,Bye,x o d A h A f e z
967,خداحافظ,x u d ɑː h ɑː f i z,خداحافظ,CANNNNNNOT,x u d A h A f i z
968,خداحافظ,x u d ɔː h ɔː f i z,خداحافظ,Bye,x u d A h A f i z
969,خداحافظ,x ʊ d ɒː h ɒː f ɪ z,خداحافظ,Bye,x ʊ d A h A f i z
970,خدای,x o d ɒː j,خدای,God,x o d A y
971,خدیو,x i d eː w,خدیو,Overlord,x i d eː w
972,خدیو,x æ d eː w,خدیو,Overlord,x a d eː w
973,خدیو,x æ d iː v,خدیو,Overlord,x a d i v
974,خراسان,x o ɾ ɒː s ɒː n,خراسان,Khorasan,x o r A s A n
975,خراسان,x u ɾ ɔː s ɔː n,خراسان,Khorasan,x u r A s A n
976,خراسان,x ʊ ɾ ɒː s ɒː n,خراسان,CANNNNNNOT,x ʊ r A s A n
977,خراسان,xʷ a ɾ ɑː s ɑː n,خراسان,Khorasan,x a r A s A n
978,خراسانی,x o ɾ ɒː s ɒː n iː,خراسانی,Khorasani,x o r A s A n i
979,خراسانی,x u ɾ ɔː s ɔː n iː,خراسانی,Khorasani,x u r A s A n i
980,خراسانی,x ʊ ɾ ɒː s ɒː n iː,خراسانی,Khorasani,x ʊ r A s A n i
981,خراسانی,xʷ a ɾ ɑː s ɑː n iː,خراسانی,Khorasani,x a r A s A n i
982,خربز,x a ɾ b u z,خربز,Melon,x a r b u z
983,خربز,x a ɾ b ʊ z,خربز,Melon,x a r b ʊ z
984,خربز,x æ ɾ b o z,خربز,Melon,x a r b o z
985,خربزه,x a ɾ b u z a,خربزه,Melon,x a r b u z a
986,خربزه,x a ɾ b ʊ z a,خربزه,Melon,x a r b ʊ z a
987,خربزه,x æ ɾ b o z e,خربزه,Melon,x a r b o z e
988,خربوزه,x a ɾ b u z a,خربوزه,Melons,x a r b u z a
989,خربوزه,x a ɾ b uː z a,خربوزه,Melons,x a r b A z a
990,خربوزه,x æ ɾ b uː z e,خربوزه,Melons,x a r b A z e
991,خرد,x e ɾ æ d,خرد,Wisdom,x e r a d
992,خرد,x i ɾ a d,خرد,Wisdom,x i r a d
993,خرد,x o ɾ d,خرد,Wisdom,x o r d
994,خرد,x u ɾ d,خرد,Wisdom,x u r d
995,خرد,x ɪ ɾ a d,خرد,Wisdom,x i r a d
996,خرد,x ʊ ɾ d,خرد,Wisdom,x ʊ r d
997,خرداد,x o ɾ d̪ ɒː d̪,خرداد,June,x o r d̪ A d̪
998,خرم,x o ɾː æ m,خرم,Happy,x o rː a m
999,خرما,x o ɾ m ɒː,خرما,Date,x o r m A
1000,خرما,x u ɾ m ɑː,خرما,Date,x u r m A
1001,خرما,x u ɾ m ɔː,خرما,Date,x u r m A
1002,خرما,x ʊ ɾ m ɒː,خرما,Date,x ʊ r m A
1003,خروس,x o ɾ uː s,خروس,Rooster,x o r A s
1004,خروس,x ɾ o s,خروس,Rooster,x r o s
1005,خروس,x ʊ ɾ oː s,خروس,Rooster,x ʊ r oː s
1006,خرگوش,x a ɾ ɡ oː ʃ,خرگوش,Rabbit,x a r ɡ oː S
1007,خرگوش,x a ɾ ɡ ɵː ʃ,خرگوش,Rabbit,x a r ɡ ɵː S
1008,خرگوش,x æ ɾ ɡ uː ʃ,خرگوش,Rabbit,x a r ɡ A S
1009,خریدن,x æ ɾ iː d æ n,خریدن,CANNNNNNOT,x a r i d a n
1010,خز,x æ z,خز,Fur,x a z
1011,خزاعی,x æ z ɒː ʔ iː,خزاعی,KHAZAEI,x a z A i
1012,خزان,x æ z ɒː n,خزان,Fall,x a z A n
1013,خزنده,x æ z æ n d e,خزنده,Creepy,x a z a n d e
1014,خزندگان,x æ z æ n d e ɡ ɒː n,خزندگان,CANNNNNNOT,x a z a n d e ɡ A n
1015,خزیدن,x æ z iː d æ n,خزیدن,Crawl,x a z i d a n
1016,خزینه,x æ z iː n e,خزینه,CANNNNNNOT,x a z i n e
1017,خزینه,x æ z iː n æ,خزینه,CANNNNNNOT,x a z i n a
1018,خسته,x a s t a,خسته,Tired,x a s t a
1019,خسته,x æ s t e,خسته,Tired,x a s t e
1020,خسته‌خانه,x a s t a # x ɑː n a,خستهخانه,Khsthkhanh,x a s t a  x A n a
1021,خسته‌خانه,x a s t a # x ɒː n a,خستهخانه,Khsthkhanh,x a s t a  x A n a
1022,خسته‌خانه,x a s t a # x ɔː n a,خستهخانه,Khsthkhanh,x a s t a  x A n a
1023,خسته‌خانه,x æ s t e # x uː n e,خستهخانه,Khsthkhanh,x a s t e  x A n e
1024,خسته‌خانه,x æ s t e # x ɒː n e,خستهخانه,Khsthkhanh,x a s t e  x A n e
1025,خشک,x o ʃ k,خشک,Dry,x o S k
1026,خشکاندن,x o ʃ k ɒː n d æ n,خشکاندن,Sear,x o S k A n d a n
1027,خشکوندن,x o ʃ k uː n d æ n,خشکوندن,Khshkvndn,x o S k A n d a n
1028,خط,x a t,خط,Line,x a t
1029,خط,x æ t,خط,Line,x a t
1030,خطا,x æ t ɒː,خطا,CANNNNNNOT,x a t A
1031,خندان,x æ n d ɒ n,خندان,Smiling,x a n d ɒ n
1032,خندون,x æ n d uː n,خندون,Khndvn,x a n d A n
1033,خو,x o,خو,CANNNNNNOT,x o
1034,خواب,x ɒː b,خواب,Dream,x A b
1035,خواب,x ɔː b,خواب,Dream,x A b
1036,خواب,xʷ ɑː b,خواب,CANNNNNNOT,x A b
1037,خواجه,x ɒː d ʒ a,خواجه,Eunuch,x A j a
1038,خواجه,x ɒː d ʒ e,خواجه,Eunuch,x A j e
1039,خواجه,x ɔː d ʒ a,خواجه,CANNNNNNOT,x A j a
1040,خواجه,xʷ ɑː d ʒ a,خواجه,Eunuch,x A j a
1041,خوارزم,x ɒː ɾ æ z m,خوارزم,Khorezm,x A r a z m
1042,خوارزم,xʷ ɒː ɾ æ z m,خوارزم,CANNNNNNOT,x A r a z m
1043,خواستار,x ɒː s t̪ ɒː ɾ,خواستار,Demanding,x A s t A r
1044,خواستن,x ɒː s t a n,خواستن,Ask,x A s t a n
1045,خواستن,x ɒː s t æ n,خواستن,Ask,x A s t a n
1046,خواستن,x ɔː s t a n,خواستن,Ask,x A s t a n
1047,خواستن,xʷ ɑː s t a n,خواستن,Ask,x A s t a n
1048,خواندن,x uː n d æ n,خواندن,Read,x A n d a n
1049,خواندن,x ɒː n d a n,خواندن,Read,x A n d a n
1050,خواندن,x ɒː n d æ n,خواندن,Read,x A n d a n
1051,خواندن,x ɔː n d a n,خواندن,Read,x A n d a n
1052,خواندن,xʷ ɑː n d a n,خواندن,Read,x A n d a n
1053,خواننده,x ɒː n æ n d e,خواننده,Singer,x A n a n d e
1054,خوانندگان,x ɒː n æ n d e ɡ ɒː n,خوانندگان,singers,x A n a n d e ɡ A n
1055,خواهر,x ɒː h a ɾ,خواهر,sister,x A h a r
1056,خواهر,x ɒː h æ ɾ,خواهر,sister,x A h a r
1057,خواهر,x ɔː h a ɾ,خواهر,CANNNNNNOT,x A h a r
1058,خواهر,xʷ ɑː h a ɾ,خواهر,sister,x A h a r
1059,خود,x o d,خود,Own,x o d
1060,خود,x oː d,خود,Own,x oː d
1061,خود,x u d,خود,Own,x u d
1062,خود,x uː d,خود,CANNNNNNOT,x A d
1063,خود,x ʊ d,خود,Own,x ʊ d
1064,خود,xʷ a d,خود,Own,x a d
1065,خودرو,x o d ɾ o w,خودرو,car,x o d r o w
1066,خودرو,x o d ɾ oː,خودرو,car,x o d r oː
1067,خودرو,x u d ɾ a v,خودرو,car,x u d r a v
1068,خودرو,x ʊ d ɾ a w,خودرو,car,x ʊ d r a w
1069,خودرو,xʷ a d ɾ a w,خودرو,CANNNNNNOT,x a d r a w
1070,خور,x o ɾ,خور,Estuary,x o r
1071,خور,x o ʊ ɾ,خور,Estuary,x o ʊ r
1072,خور,x u ɾ,خور,CANNNNNNOT,x u r
1073,خور,x uː ɾ,خور,Estuary,x A r
1074,خور,x ʊ ɾ,خور,Estuary,x ʊ r
1075,خور,xʷ a ɾ,خور,Estuary,x a r
1076,خوراک,x o ɾ ɒː k,خوراک,food,x o r A k
1077,خوراک,x u ɾ ɔː k,خوراک,food,x u r A k
1078,خوراک,x ʊ ɾ ɒː k,خوراک,food,x ʊ r A k
1079,خوراک,xʷ a ɾ ɑː k,خوراک,food,x a r A k
1080,خوردن,x oː ɾ d æ n,خوردن,Eat,x oː r d a n
1081,خوردن,x v u ɾ d æ n,خوردن,CANNNNNNOT,x v u r d a n
1082,خوردن,x ɵː r d a n,خوردن,Eat,x ɵː r d a n
1083,خورشید,x o ɾ ʃ iː d,خورشید,CANNNNNNOT,x o r S i d
1084,خورشید,x u ɾ ʃ e d,خورشید,CANNNNNNOT,x u r S e d
1085,خورشید,x ʊ ɾ ʃ eː d,خورشید,Sun,x ʊ r S eː d
1086,خورشید,xʷ u ɾ ʃ eː d,خورشید,Sun,x u r S eː d
1087,خوره,x o rː æ h,خوره,Nerd,x o rː a h
1088,خوره,x o ɾ e,خوره,CANNNNNNOT,x o r e
1089,خوش,x o ʃ,خوش,good,x o S
1090,خوش,x u ʃ,خوش,good,x u S
1091,خوش,x ʊ ʃ,خوش,good,x ʊ S
1092,خوش,xʷ a ʃ,خوش,CANNNNNNOT,x a S
1093,خوشبو,x o ʃ b uː j,خوشبو,Balmy,x o S b A y
1094,خوشبو,x u ʃ b ɵː j,خوشبو,CANNNNNNOT,x u S b ɵː y
1095,خوشبو,x ʊ ʃ b uː j,خوشبو,Balmy,x ʊ S b A y
1096,خوشبو,xʷ a ʃ b uː j,خوشبو,Balmy,x a S b A y
1097,خوشحال,x o ʃ h ɒː l,خوشحال,Happy,x o S h A l
1098,خوشحال,x u ʃ h ɔː l,خوشحال,CANNNNNNOT,x u S h A l
1099,خوشحال,x ʊ ʃ h ɒː l,خوشحال,Happy,x ʊ S h A l
1100,خوشحال,xʷ a ʃ h ɑː l,خوشحال,Happy,x a S h A l
1101,خوشنویس,x o ʃ n e v iː s,خوشنویس,Calligrapher,x o S n e v i s
1102,خوشنویسی,x o ʃ n e v iː s iː,خوشنویسی,Calligraphy,x o S n e v i s i
1103,خوشگل‌تر,x o ʃ ɡ e l t æ ɾ,خوشگلتر,Prettier,x o S ɡ e l t a r
1104,خوشگل‌ترین,x o ʃ ɡ e l t æ ɾ iː n,خوشگلترین,the most beautiful,x o S ɡ e l t a r i n
1105,خوف,x a v f,خوف,Fear,x a v f
1106,خوف,x a w f,خوف,Fear,x a w f
1107,خوف,x o w f,خوف,Fear,x o w f
1108,خوف,x oː f,خوف,Fear,x oː f
1109,خونریزی,x u n ɾ e z iː,خونریزی,Bloodshed,x u n r e z i
1110,خونریزی,x uː n ɾ eː z iː,خونریزی,Bloodshed,x A n r eː z i
1111,خونریزی,x uː n ɾ iː z iː,خونریزی,Bloodshed,x A n r i z i
1112,خونه,x oː n æ,خونه,Home,x oː n a
1113,خونین,x uː n iː n,خونین,CANNNNNNOT,x A n i n
1114,خوک,x uː k,خوک,CANNNNNNOT,x A k
1115,خویش,x e ʃ,خویش,Self,x e S
1116,خویش,x eː ʃ,خویش,Self,x eː S
1117,خویش,x iː ʃ,خویش,Self,x i S
1118,خویش,xʷ eː ʃ,خویش,CANNNNNNOT,x eː S
1119,خیار,x i j ɑː ɾ,خیار,CANNNNNNOT,x i y A r
1120,خیار,x i j ɒː ɾ,خیار,Cucumbers,x i y A r
1121,خیار,x i j ɔː ɾ,خیار,CANNNNNNOT,x i y A r
1122,خیر,x a j ɾ,خیر,Good,x a y r
1123,خیر,x e j ɾ,خیر,CANNNNNNOT,x e y r
1124,خیز,x e z,خیز,CANNNNNNOT,x e z
1125,خیز,x eː z,خیز,CANNNNNNOT,x eː z
1126,خیز,x iː z,خیز,CANNNNNNOT,x i z
1127,خیس,x iː s,خیس,CANNNNNNOT,x i s
1128,خیلی,x a j l iː,خیلی,CANNNNNNOT,x a y l i
1129,خیلی,x e j l iː,خیلی,CANNNNNNOT,x e y l i
1130,خەر,x æː ɾ,خەر,CANNNNNNOT,x aː r
1131,داد,d ɒː d,داد,CANNNNNNOT,d A d
1132,دارفلفل,d ɑː ɾ f i l f i l,دارفلفل,CANNNNNNOT,d A r f i l f i l
1133,دارفلفل,d ɒː ɾ f e l f e l,دارفلفل,CANNNNNNOT,d A r f e l f e l
1134,دارفلفل,d ɒː ɾ f ɪ l f ɪ l,دارفلفل,CANNNNNNOT,d A r f i l f i l
1135,دارفلفل,d ɔː ɾ f i l f i l,دارفلفل,CANNNNNNOT,d A r f i l f i l
1136,دارو,d ɒː ɾ uː,دارو,CANNNNNNOT,d A r A
1137,داشتن,d ɑː ʃ t a n,داشتن,CANNNNNNOT,d A S t a n
1138,داشتن,d ɒː ʃ t a n,داشتن,CANNNNNNOT,d A S t a n
1139,داشتن,d ɒː ʃ t æ n,داشتن,CANNNNNNOT,d A S t a n
1140,داشتن,d ɔː ʃ t a n,داشتن,CANNNNNNOT,d A S t a n
1141,داغ,d ɒː ɣ,داغ,CANNNNNNOT,d A q
1142,داماد,d ɒː m ɒː d,داماد,CANNNNNNOT,d A m A d
1143,دانش,d uː n e ʃ,دانش,CANNNNNNOT,d A n e S
1144,دانش,d ɑː n i ʃ,دانش,CANNNNNNOT,d A n i S
